regions,iso3,name,year,boreal,temperate,tropical,subtropical,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1c_primary,1c_tempUnstocked,1c_bamboos,1c_mangroves,1c_rubber,1f_palms,1f_treeOrchards,1f_agroforestry,1f_treesUrbanSettings,1f_other,2a_gs_ha_nat_reg,2a_gs_ha_planted,2a_gs_ha_plantation,2a_gs_ha_other_planted,2a_gs_ha_forest,2a_gs_ha_owl,2a_gs_tot_nat_reg,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_unknown,4b_pub_admin,4b_individuals,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area,7a_employment_tot,7a_employment_fem,7a_employment_male,7a_emp_forestry_tot,7a_emp_forestry_fem,7a_emp_forestry_male,7a_emp_logging_tot,7a_emp_logging_fem,7a_emp_logging_male,7a_emp_nwfp_tot,7a_emp_nwfp_fem,7a_emp_nwfp_male,7a_emp_support_tot,7a_emp_support_fem,7a_emp_support_male,7b_phd_tot,7b_phd_fem,7b_phd_male,7b_msc_tot,7b_msc_fem,7b_msc_male,7b_ba_tot,7b_ba_fem,7b_ba_male,7b_tech_tot,7b_tech_fem,7b_tech_male,7b_total_tot,7b_total_fem,7b_total_male
Asia,ARE,United Arab Emirates,1990,0,0,100,0,245,4.1,7102,,,,,,0,,0,3.8,0,,,,,,,,,,48.89795918,,,,,,11.98,,,,,,,,,,,,,,,,,,,,,,74.33,31.96,14.9,34.94,15.02,6.98,2.08,,,0,0,0,0,245,0,0,,,,,,,,,0,0,0,0,245,0,245,0,0,0,0,no,,,,,,,,,yes,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2000,0,0,100,0,309.43,4.1,7102,,,,,,0,,0,4,0,,,,,,,,,,49.02562777,,,,,,15.17,,,,,,,,,,,,,,,,,,,,,,74.35,31.97,14.9,34.94,15.03,7,2.1,,,0,0,0,0,309.43,0,0,,,,,,,,,0,0,0,0,309.43,0,309.43,0,0,0,0,no,,,,,,,,,yes,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2010,0,0,100,0,317.3,4.35,7102,,,,,,0,,0,4.3,0,,,,,,,,,,48.91270091,,,,,,15.52,,,,,,,,,,,,,,,,,,,,,,74.31,31.96,14.88,34.92,15.03,7,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,0,0,0,0,317.3,0,371.3,0,0,0,-54,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2015,0,0,100,0,317.3,4.6,7102,,,,,,0,,0,4.3,0,,,,,,,,,,49.79514655,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,74.43,31.43,14.63,34.97,15.07,7.01,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,0,0,0,0,317.3,0,317.3,0,0,0,0,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2020,0,0,100,0,317.3,4.85,7102,,,,,,0,,0,4.3,0,,,,,,,,,,49.79514655,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,74.43,31.43,14.63,34.97,15.07,7.01,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,1990,0,40,0,60,788.8,256,2740,,,,,,84.8,,0,0,0,,,,,,,,,,95.39807302,,,,,,75.25,,37.77,15.07,10.37,3.93,,,,3.54,4.57,,,75.25,,,,,,,,75.25,,,,,,,,,,685,86.9,16.9,,,,0,,,,,,103.7,,,0,0,0,0,788.8,0,,,,,788.8,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2000,0,40,0,60,769.3,255,2740,,,,,,84.8,,0,0,0,,,,,,,,,,98.55712986,,,,,,75.82,,37.93,14.35,11.37,3.96,,,,3.81,4.41,,,75.83,,,,,,,,75.83,,,,,,,,,,620,96.8,52.4,,,,0.1,,,,,,149.2,,,6.8,0,0,0,762.5,0,,,,,762.5,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2010,0,40,0,60,782.07,260.69,2740,711.6837,70.39,70.3863,,0,84.8,,0,0,0,,,,,29.12,,,,,97.81733093,,,,,,76.5,,37.88,14.4,10.96,3.95,,,,3.57,4.24,,1.5,76.5,,,,,,,,76.5,,,,,,,,,,614.2,131.1,31,,,,,,,,,,162.1,776.3,,20.57,0,0,0,761.5,,,,,,761.5,,yes,yes,yes,yes,,,,,yes,776.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2015,0,40,0,60,789.1875,263.0625,2740,,,,,,84.8,,0,0,0,,,,,25.32,,,,,70.00871149,,,,,,55.25,,24.5,11,6.54,2.32,2.09,1.98,0.07,2.81,2.87,1.07,0,55.25,,,,,,,,55.25,,,,,,,,,,629,130,31,,,,,,,,,,,,,21.62,0,0,0,767.57,,,,,,767.57,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2020,0,40,0,60,788.9,262.97,2740,,,,,,84.8,,0,0,0,,,,,,,,,,69.62859678,,,,,,54.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,130,31,,,,-0.1,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, EU-27, Europe, FOREST EUROPE, UNECE",AUT,Austria,1990,0,100,0,0,3775.67,117.67,8252,2036.6,1739.4,0,0,1739.4,63,376,0,0,0,0,19.58,,,2.6,253.3634489,236.2883753,0,236.2883753,245.5193383,0,516,411,0,411,927,0,550,82,73,62,43,21,12,9,9,5,55,921,2,2,0.5,0.5,0,,5,926,143.5,37.1,1.6,70.37,18.29,0.78,15,106,50,2621.07,1119.11,0,35.49,0,0,0,3308,3775.67,,3495,,,1850,,2970.32,2152.13,461.39,356.8,805.35,0,805.35,0,0,0,0,yes,yes,yes,yes,yes,yes,no,yes,no,yes,3775.67,21.08,,,,,,,,,,,,,,,6,0,6,65,5,60,0,0,0,133,3,130,204,8,196
"International Tropical Timber Organization, EU-27, Europe, FOREST EUROPE, UNECE",AUT,Austria,2000,0,100,0,0,3838.14,116.71,8252,2154.3,1683.7,0,0,1683.7,63,380,0,0,0,0,17.39,,,3.37,275.7276145,280.9289066,0,280.9289066,277.9992392,0,594,473,0,473,1067,0,640,96,74,70,46,25,18,12,9,7,63,1060,3,2,0.5,0,0.5,,6,1066,157.4,40.8,2.1,76.89,19.97,1.03,,,50,2635.04,1137.62,30.24,35.24,0,0,0,3342,3838.14,116.6,3662,,,1881,,3085.48,2187.74,539.64,358.1,752.66,0,752.66,0,0,0,0,yes,yes,yes,yes,yes,yes,no,yes,no,yes,3838.14,18,,,,,,,,,,,,,,,13,2,11,52,6,46,0,0,0,95,10,85,159,18,142
"International Tropical Timber Organization, EU-27, Europe, FOREST EUROPE, UNECE",AUT,Austria,2010,0,100,0,0,3863.2,134.21,8252,2183.7,1679.3,0,0,1679.3,63,458,0,0,0,0,13.92,,,4.33,287.1273527,297.147621,0,297.147621,291.4682129,0,627,499,0,499,1126,0,672,106,73,71,48,27,23,15,9,8,68,1120,3,2,1,0,0,,6,1126,164.5,42.1,3.1,80.22,20.43,1.5,26,104,50,2309.19,1411.62,107.2,35.19,0,0,0,3336,3863.2,291.2,3761,,729.08,1932,,3130.35,2202.02,522.69,405.64,732.85,0,732.85,0,0,0,0,yes,yes,yes,yes,yes,yes,no,yes,no,yes,3863.2,20.25,,,,,,,,,,,,,,,11,3,8,38,10,28,32,8,24,100,6,94,181,27,154
"International Tropical Timber Organization, EU-27, Europe, FOREST EUROPE, UNECE",AUT,Austria,2015,0,100,0,0,3881.19,132.23,8252,2206.5,1674.5,0,0,1674.5,63,474,0,0,0,0,13.08,,,4.87,289.1457059,303.3741415,0,303.3741415,295.270265,0,638,508,0,508,1146,0,681,111,74,70,50,29,23,17,9,8,67.5,1139.5,3,2,1,0.5,0,,6.5,1146,168.4,42.3,3.4,82.03,20.67,1.7,,,50,2202.53,1446.52,188.01,44.13,0,0,0,3319,3881.19,501.59,3813,,852.23,1941,,3166.66,2212.28,575.58,378.8,714.53,0,677.53,0,37,0,0,yes,yes,yes,yes,yes,yes,no,yes,no,yes,3881.19,20.31,,,,,,,,,,,,,,,22,7,15,50,12,38,48,12,36,125,6,118,244,37,207
"International Tropical Timber Organization, EU-27, Europe, FOREST EUROPE, UNECE",AUT,Austria,2020,0,100,0,0,3899.15,130.24,8252,2227.5,1671.5,0,0,1671.5,63,490,0,0,0,0,13.08,,,4.87,289.1133558,312.2943464,0,312.2943464,299.0395343,0,644,522,0,522,1166,0,691,116,74,69,51,31,23,19,9,9,67.5,1159.5,3,2,1,0.5,0,,6.5,1166,172.3,42.7,3.7,83.84,20.91,1.79,,,50,2212.72,1453.21,188.89,44.33,0,0,0,3305,3899.15,521.04,3813,,878.4,1950,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,no,yes,no,yes,3899.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",1990,0,0,100,0,1.91,18.98,32.2,1.91,0,0,0,0,,,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1.59,,,,,,0.32,,,,,,,,1.91,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2000,0,0,100,0,1.91,18.98,32.2,1.91,0,0,0,0,,,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1.59,,,,,,0.32,,,,,,,,1.91,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2010,0,0,100,0,1.91,18.98,32.2,1.91,0,0,0,0,,,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1.59,,,,,,0.32,,,,,,,,1.91,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2015,0,0,100,0,1.91,18.98,32.2,1.91,0,0,0,0,,,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1.59,,,,,,0.32,,,,,,,,1.91,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2020,0,0,100,0,1.91,18.98,32.2,1.91,0,0,0,0,,,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1.59,,,,,,0.32,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,AGO,Angola,1990,0,0,100,0,79262.78,29620.59,124670,78302.22,960.56,960.56,0,0,,0,0,31.17,0,,,,,,35.54,254.8,254.8,0,38.2,,2782.860899,244.750688,244.750688,0,3027.838196,,,,,,,,,,,,,,,,,,,,,,30.3,6.13,2.6,14.4,2.88,1.2,,,,2422,1862,,,,,74978.78,2422,1862,,,,1862,0,0,0,0,0,0,79262.78,0,78302.22,0,0,0,960.56,no,yes,no,yes,no,yes,no,yes,no,yes,1862,,,,,,,,,,,,,,,,0,0,0,0,0,0,10,3,7,52,2,50,62,5,57
Africa,AGO,Angola,2000,0,0,100,0,77708.61,29039.79,124670,76766.88,941.73,941.73,0,0,,0,0,31.17,0,,,,,,35.54,254.8,254.8,0,38.2,,2728.294915,239.952804,239.952804,0,2968.468902,,,,,,,,,,,,,,,,,,,,,,30.3,6.13,2.6,14.4,2.88,1.2,,,,2369,1862,,,,,73477.61,2369,1862,,,,1862,0,0,0,0,0,0,77708.61,0,76766.88,0,0,0,941.73,no,yes,no,yes,no,yes,no,yes,no,yes,1862,,,,,,,,,,,,,,,,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Africa,AGO,Angola,2010,0,0,100,0,72158,26965.52,124670,71283.53,874.46,874.46,0,0,,0,0,31.17,0,,,,,,35.54,254.8,254.8,0,38.2,,2533.416656,222.812408,222.812408,0,2756.4356,,,,,,,,,,,,,,,,,,,,,,30.3,6.13,2.6,14.4,2.88,1.2,,,,2317,1862,,,,,67979,2317,1862,,,,1862,0,0,0,0,0,0,72158,0,71283.53,0,0,0,874.47,no,yes,no,yes,no,yes,no,yes,no,yes,1862,,,,,,,,,,,,,,,,0,0,0,3,0,3,0,0,0,41,5,36,44,5,39
Africa,AGO,Angola,2015,0,0,100,0,69382.69,25928.38,124670,68541.86,840.83,840.83,0,0,26743,0,0,31.17,0,,,,,,35.54,254.8,254.8,0,38.2,,2435.977704,214.243484,214.243484,0,2650.418758,,,,,,,,,,,,,,,,,,,,,,30.3,6.13,2.6,14.4,2.88,1.2,,,,2291,1862,,,,,,2291,1862,,,,1862,0,0,0,0,0,0,69382.69,,68541.86,0,0,0,840.83,no,yes,no,yes,no,yes,no,yes,no,yes,1862,,,,,,,,,,,,,,,,0,0,0,1,0,1,18,5,13,20,2,18,39,7,42
Africa,AGO,Angola,2020,0,0,100,0,66607.38,24891.24,124670,65800.19,807.2,807.2,0,0,26743,0,0,31.17,0,,,,,,35.54,254.8,254.8,0,38.2,,2338.538753,205.67456,205.67456,0,2544.401916,,,,,,,,,,,,,,,,,,,,,,30.3,6.13,2.6,14.4,2.88,1.2,,,,2289.8,1862,,,,,62455.58,2289.8,1862,,,,1862,0,0,,,,,,,,,,,,no,yes,no,yes,no,yes,no,yes,no,yes,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, EU-27, Europe, International Tropical Timber Organization",BEL,Belgium,1990,0,100,0,0,677.4,20.7,3028,231.1,446.3,446.3,306,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.98,23.7,4.13,59.46,11.89,2.04,8.28,80.4,20,0,0,0,0,677.4,0,0,,,,677.4,,,,,383.4,,,,294,0,294,0,0,0,0,no,,yes,,yes,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, EU-27, Europe, International Tropical Timber Organization",BEL,Belgium,2000,0,100,0,0,667.3,27.1,3028,259.2,407.9,407.9,229.2,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,28.9,18.7,11.5,4.8,4,,,,,,,67.9,53,7.9,3.3,,3.4,,67.6,135.5,148.48,30.56,4.14,74.24,15.27,2.1,8.29,84.42,20,0,0,0,0,667.3,0,0,,179.1,8.3,667.3,,27.2,,,377.3,,,,290,0,290,0,0,0,0,no,,yes,,yes,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, EU-27, Europe, International Tropical Timber Organization",BEL,Belgium,2010,0,100,0,0,689.87,32.8,3028,283.4,406.37,406.37,289.3,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,32.8,23.5,15.3,5.4,5,,,,,,,82,52.2,7.1,7.5,,3.7,,70.5,152.5,164.54,31.82,5.22,82.26,16.87,2.65,8.21,89.29,20,0,0,0,0,681.2,0,8.67,,170.9,16,681.2,,26.3,,,376.8,320.3,56.5,,304.4,8.67,304.4,0,0,0,0,no,,yes,,yes,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, EU-27, Europe, International Tropical Timber Organization",BEL,Belgium,2015,0,100,0,0,689.3,32.9,3028,251.2,438.2,438.2,350.2,0,0,28.6,0,0,0,0,18.5,8.1,5.3,7.9,249.2038217,266.7731629,266.7731629,,260.4091107,,62.6,116.9,116.9,0,179.5,,35.2,23.2,13.5,6.2,5.3,3.3,3,2.8,1,0.8,4.5,98.8,49.8,6.9,6.8,4.9,3.8,8.5,80.7,179.5,172.3,35.6,6.4,86.4,17.8,3.2,8.2,87.6,20,0,0,12.4,0,676.9,0,0,,159.8,12.4,683.4,,180.3,307.7,,363.04,308.6,54.44,,326.26,0,324.92,0,0,0,1.34,no,,yes,,yes,,yes,yes,yes,yes,513.17,4.4,,,1.95,,,2.4,,,0,,,0.04,,,11,5,6,59,30,29,79,25,55,,,,149,60,89
"UNECE, FOREST EUROPE, EU-27, Europe, International Tropical Timber Organization",BEL,Belgium,2020,0,100,0,0,689.3,32.9,3028,251.2,438.2,438.2,350.2,0,0,28.6,0,0,0,0,18.5,8.1,5.3,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,12.4,0,676.9,0,0,,,,,,,,,,,,,,,,,,,,no,,yes,,yes,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, Africa",BEN,Benin,1990,0,0,100,0,4835.15,1951.55,11276,4822.53,13,13,13,0,0,,,7.71,0,,,,,,60.99,34.75,34.75,0,60.92,,294.1261047,0.45175,0.45175,0,294.557338,,,,,,,,,,,,,,,,,,,,,,103.56,20.71,2.5,48.68,9.74,,2.1,47,30,1436,,1247,,,,2152.15,,2522,1093,18,,2522,,,18,,,,4817.15,0,2522,,,18,2277.15,no,yes,yes,yes,no,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, Africa",BEN,Benin,2000,0,0,100,0,4135.15,1951.55,11276,4118.78,16,16,16,0,0,,,3.34,0,,,,,,60.99,34.75,34.75,0,60.92,,251.2043922,0.556,0.556,0,251.913338,,,,,,,,,,,,,,,,,,,,,,103.56,20.71,2.5,48.68,9.74,,2.1,47,30,1436,,1247,,,,1452.15,,2522,1093,18,,2522,,,18,,,,4117.15,0,2522,,,18,1577.15,no,yes,yes,yes,no,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, Africa",BEN,Benin,2010,0,0,100,0,3635.15,1951.55,11276,3615.15,20,20,20,0,0,,,1.28,0,,,,,,60.99,34.75,34.75,0,60.92,,220.4879985,0.695,0.695,0,221.453338,,5.99,2.93,2.75,2.16,2.12,1.86,1.65,1.62,1.21,1.15,198.01,221.45,,,,,,,,221.45,103.56,20.71,2.5,48.68,9.74,,2.1,47,30,1436,,1247,,,,952.15,,2522,1093,18,,2522,1261,,44,26,,,3591.15,0,3017,,,,574.15,no,yes,yes,yes,no,yes,yes,no,no,yes,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, Africa",BEN,Benin,2015,0,0,100,0,3385.15,1951.55,11276,3363.15,22,22,22,0,0,,,1.41,0,,,,,,60.99,34.75,34.75,0,60.92,,205.1185185,0.7645,0.7645,0,206.223338,,,,,,,,,,,,,,,,,,,,,,103.56,20.71,2.5,48.68,9.74,,2.1,47,30,1436,,1247,,,,702.15,,2522,1093,18,,2522,1414.74,,,,,,,3385.15,,,,,,no,yes,yes,yes,no,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,
"International Tropical Timber Organization, Africa",BEN,Benin,2020,0,0,100,0,3135.15,1951.55,11276,3112.15,23,23,23,0,0,,,0.16,0,,,,,,60.99,34.75,34.75,0,60.92,,189.8100285,0.79925,0.79925,0,190.993338,,,,,,,,,,,,,,,,,,,,,,103.56,20.71,2.5,48.68,9.74,,2.1,47,30,,,,,,,3135.15,,,,,,2522,1414.74,,,,,,,,,,,,,no,yes,yes,yes,no,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,ATG,Antigua and Barbuda,1990,0,0,100,0,10.11,15.6,44,,,,,,0,,,1.21,0,,,,,,,,,,123,,,,,,1.24353,,,,,,,,,,,,,,,,,,,,,,210,59,,98.7,27.73,,,,,,,,,,,10.11,,,,,,,,,,,,,,10.11,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,ATG,Antigua and Barbuda,2000,0,0,100,0,9.45,15.6,44,,,,,,0,,,0.85,0,,,,,,,,,,123,,,,,,1.16235,,,,,,,,,,,,,,,,,,,,,,210,59,,98.7,27.73,,,,,,,,,,,9.45,,,,,,,,,,,,,,9.45,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,ATG,Antigua and Barbuda,2010,0,0,100,0,8.78,15.6,44,,,,,,0,,,0.67,0,,,,,,,,,,123,,,,,,1.07994,,,,,,,,,,,,,,,,,,,,,,210,59,,98.7,27.73,,,,,,,,,,,8.78,,,,,,,,,,,,,,8.78,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,ATG,Antigua and Barbuda,2015,0,0,100,0,8.45,15.6,44,,,,,,0,,,0.67,0,,,,,,,,,,123,,,,,,1.03935,,,,,,,,,,,,,,,,,,,,,,210,59,,98.7,27.73,,,,,,,,,,,8.45,,,,,,,,,,,,,,8.45,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North and Central America,ATG,Antigua and Barbuda,2020,0,0,100,0,8.12,15.6,44,,,,,,0,,,0.67,0,,,,,,,,,,123,,,,,,0.99876,,,,,,,,,,,,,,,,,,,,,,210,59,,98.7,27.73,,,,,,,,,,,8.12,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, UNECE",ARM,Armenia,1990,0,39,0,61,334.73,41.18,2847,321,13.73,0,0,13.73,17,,0,0,0,,,,,,,,,,125.5041377,19.42690627,,,,,42.01,0.8,20.81,12.62,6.04,0.61,0.45,0.16,0.31,0.24,0.1,0.14,0.51,41.99,,,,,,,,41.99,82.69,19.04,,38.9,8.96,,28.18,36.84,30,0,205.7,0,71.6,0,57.4,0.03,,,,,,,,,0,0,0,0,334.73,0,334.73,0,0,0,0,,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, UNECE",ARM,Armenia,2000,0,39,0,61,332.64,52.26,2847,322,10.64,0,0,10.64,17,,0,0,0,,,,,,,,,,126.6233766,15.30807501,,,,,42.12,0.8,20.62,11.74,6.28,0.6,0.45,0.17,0.29,0.18,0.23,0.18,0.37,41.11,,,,,,,,41.11,81.38,18.74,,38.29,8.8,,28.17,36.82,30,0,205,0,70.4,0,57.2,0.04,,,,,,,,,0,0,0,0,332.64,0,332.64,0,0,0,0,,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, UNECE",ARM,Armenia,2010,0,39,0,61,330.56,63.34,2847,310,20.56,0,0,20.56,17,,0,0,0,,,,,,,,,,121.6723136,12.63024945,,,,,40.22,0.8,20.52,11.3,6.4,0.6,0.45,0.17,0.28,0.15,0.3,0.2,0.3,40.67,,,,,,,,40.67,80.06,18.46,,37.7,8.67,,28.16,36.8,30,0,133,0,0,0,130.4,67.16,,,,,,,,,0,0,0,0,330.56,0,330.56,0,0,0,0,,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, UNECE",ARM,Armenia,2015,0,39,0,61,329.52,68.88,2847,310,19.52,0,0,19.52,17,,0,0,0,,,,,,,,,,123.4219471,11.61440186,,,,,40.67,0.8,20.52,11.3,6.4,0.6,0.45,0.17,0.28,0.15,0.3,0.2,0.3,40.67,,,,,,,,40.67,80.72,18.58,,38.01,8.83,,28.16,36.81,30,,,,,,,329.52,,,,,,,,,0,0,0,0,329.52,0,329.52,0,0,0,0,,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia, UNECE",ARM,Armenia,2020,0,39,0,61,328.47,74.43,2847,310,18.47,0,0,18.47,17,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,328.47,,,,,,,,,,,,,,,,,,,,,yes,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, Europe",AND,Andorra,1990,0,100,0,0,16,0,47,16,0,0,0,0,0,,0,0,0,0,,,,,220,0,,,220,,3.52,0,0,0,3.52,0,,,,,,,,,,,,,,,,,,,,,154,30.8,,72.38,14.48,,,,,,,,,,,16,,,,,,,,,,,,,,16,,,,,,no,,yes,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, Europe",AND,Andorra,2000,0,100,0,0,16,0,47,16,0,0,0,0,0,,0,0,0,0,,,,,220,0,,,220,,3.52,0,0,0,3.52,0,,,,,,,,,,,,,,,,,,,,,154,30.8,,72.38,14.48,,,,,,,,,,,16,,,,,,,,,,,,,,16,,,,,,no,,yes,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, FOREST EUROPE, Europe",AND,Andorra,2010,0,100,0,0,16,0,47,16,0,0,0,0,0,,0,0,0,0,,,,,220,0,,,220,,3.52,0,0,0,3.52,0,,,,,,,,,,,,,,,,,,,,,154,30.8,,72.38,14.48,,,,,,,,,,,16,,,,,,,,,0.1,0,0,0,15.9,0,15.9,0,0,0,0,no,,yes,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
